# boxes1d=1 seed=7 count=100
56.3106728, 48.1458778, 47.7244759, -40.8226051
57.2877083, -17.7417583, 15.3553333, 24.7859879
60.2402229, -18.1673489, 4.29860783, -43.3175583
60.5723953, 16.7752476, 4.39574718, -55.4114876
44.0997429, 11.7502632, -39.214386, 10.2584343
58.4683914, -17.7686729, 38.1373177, -8.2898016
36.3333054, -4.09516335, -25.4190254, -19.2966061
40.2465935, -35.5945511, -12.6602287, -5.65559149
67.5287247, -33.7024651, 17.9760704, 3.40231252
50.4622307, -6.0717721, -15.6319885, 31.3434525
42.6627426, -37.3088989, 35.8698273, -38.5868263
46.7216873, 21.3799858, -41.4997711, 19.761776
43.1542435, -21.3721886, -13.6068487, -31.0267925
47.3183136, -32.7517929, 3.43529534, 2.42502928
45.0319595, 12.0616503, -40.0717621, 1.83966148
55.3130913, -17.1179829, 46.8868027, 34.6475754
52.0551987, 24.103796, 14.0046501, 2.2383635
51.928318, -35.7903938, 3.70356011, -17.2702751
54.8194122, 25.6017227, -17.1351891, -39.7732735
42.2291336, 11.5344353, -37.6831894, -30.6605625
45.2736664, -14.0026693, -5.36794329, 10.8438377
56.095768, 47.3914909, -28.1583977, 12.8791256
43.7499733, -5.11122322, -30.523634, 1.93782377
50.4225426, -25.3195496, 13.48557, 21.8942871
61.9552383, -7.00281048, -19.386755, -20.9444103
39.1409645, -34.318161, 10.2446508, -35.4725342
41.3113441, -20.5725918, -12.97299, -13.8506546
52.2085838, -6.20282173, 14.0550098, 32.5254631
43.2342949, -38.4478264, 3.19729519, 27.1814346
64.1268997, 54.7409668, -7.63172054, -58.9420013
52.4680099, 4.32715702, 13.9686623, -27.7779598
43.3108749, -5.333148, -38.4617538, 35.1279488
75.6233063, 5.64726782, 5.7555933, 32.4404373
58.9033852, -17.9504509, 49.8264885, 2.9847815
47.0464897, -5.51758718, -41.9035568, 2.05321884
45.1894531, 38.5753136, -5.37798357, -41.5357246
49.9477196, -34.572998, -44.6276474, -16.7763653
66.5643463, 17.7208881, -20.6010303, 28.3740978
45.1560326, -31.1696815, -31.6638184, -23.8006783
46.3533516, -14.4537382, -23.3561859, 19.9371681
80.0381012, 67.6793213, -9.26273823, 18.4661732
52.9740829, 4.41862917, -16.6443367, -48.4541931
58.5842361, -17.5898476, 4.14527321, -53.3639488
51.6488686, -35.7660255, -26.1815681, -7.36692286
62.002285, -30.9182606, 52.4425697, 15.1364059
41.5116692, -4.53182554, 2.98771834, -29.9060516
57.5298805, 26.6388168, 15.4775305, 2.47377563
62.7539291, 41.2200928, -19.514143, -21.555933
40.6838188, 34.6251755, -28.3961487, -29.6669979
51.248436, -6.13569641, -35.6886635, 21.9327621
46.7522202, 21.8713417, 21.5300026, -24.8540573
67.6998367, -59.7511406, 44.060379, 3.70154643
58.4551086, 26.9840164, -18.1354599, 2.41306424
93.1224136, 78.4814377, 61.3118935, 75.2481461
40.3691902, -4.35368156, 2.88171268, -36.8249359
48.0733376, -42.3852921, 3.39693379, -15.9190474
50.9949379, 33.327507, 3.92476726, 11.8675356
60.9917068, 40.1433105, -19.0008335, -32.6404915
53.3765144, -16.6142349, 14.3400106, 33.3373909
63.4846611, -7.73698759, -19.6255989, 51.6144066
63.2293053, 16.9550533, -7.40049124, 14.863369
48.9169769, -15.0004101, 13.0516291, 2.39141607
45.5352478, -13.8382568, 29.7013741, -6.45610428
59.6583519, 4.95621729, 27.4026413, -31.5508003
65.5285339, -7.46500349, 55.5111809, 15.7926855
45.1123848, -4.99098063, -40.326889, -41.2898636
54.6976395, 36.1410065, 35.7857056, -29.1238918
53.8549042, -16.7928486, -27.136013, 23.1636829
76.8805695, 49.8674393, -8.79778957, 62.0756378
56.4830551, -27.9866085, 25.868082, -18.7965431
67.9196243, 31.1769714, 31.5013809, 42.0335884
62.8821945, 16.805439, -31.6386452, 14.7058992
59.0438042, -40.780201, 4.24866581, -8.30578136
52.0551987, 24.103796, 14.0046501, 2.2383635
52.8383522, 4.42277575, 34.473362, -27.9144821
33.2982254, -29.414959, -29.7928181, -17.5282497
43.9638557, 11.8734436, -22.1737175, -6.57967138
67.600769, -46.7030258, 30.997467, 3.55024385
42.6846428, 11.8213167, 3.09763002, -39.0478134
72.2884827, 33.5103607, 33.4077873, 3.14841342
66.3997192, -8.14978123, -46.152916, 53.8984261
80.8223114, 52.4241714, -9.24886417, 65.2583237
44.4059944, -22.1389332, -22.5144005, -14.9169893
61.8593445, -6.9913249, 40.4248199, 3.00484943
64.004425, -56.1542625, 53.8896332, -33.3197594
87.9363937, 57.1492004, 40.8752861, 71.1496887
52.4782028, -26.5734501, -36.5577812, 32.6871758
69.7469864, 46.0082703, 18.6858273, -37.2104759
60.1793861, 27.6940536, -18.6349754, 14.0232458
50.2322731, 33.1097031, 3.75507832, -26.8264713
83.6949539, 70.4640656, 22.7776127, 67.5415115
58.0673828, -6.697155, -6.88989115, 2.68195844
62.8786469, 4.56363297, 29.1353264, 51.1760292
58.4635696, -7.19899607, -51.917923, 47.4177818
44.0789108, -30.1937447, 37.1464615, -23.0107841
64.6226959, 4.89025211, -7.59490299, 15.286047
43.223671, -38.0767555, -5.31411886, -22.6369343
40.40448, -20.0153618, 2.8823154, -21.2475948
60.6987076, -18.7165737, -18.9495659, 2.85370684
46.8946686, 39.6834259, -23.5665359, 1.77782404
