
0,95.637015,126.820977
1,252.607528,127.510179
2,355.092334,128.650729
3,317.859862,132.834851
4,406.954486,133.069864
5,225.898262,139.036718
6,293.078257,140.376437
7,103.214555,147.339683
8,460.992665,148.464309
9,488.258619,152.873311
10,324.036980,164.962063
11,616.880299,166.084457
12,485.956414,169.302305
13,560.316241,170.522903
14,212.871619,175.182892
15,136.341292,176.847461
16,281.585565,176.848814
17,498.867854,182.415614
18,389.541693,182.574572
19,103.076734,184.811315
20,190.908653,185.734646
21,340.493119,188.677183
22,617.872046,192.502048
23,168.687369,196.712050
24,558.122817,200.855853
25,371.373896,206.559967
26,579.235972,207.594344
27,335.830670,212.741491
28,220.351431,215.799539
29,548.992444,220.581952
30,81.518285,222.807649
31,482.272903,223.493488
32,114.959085,225.962542
33,235.237584,252.062566
34,193.207711,262.954958
35,245.705463,262.724299
